timestamp,dpid,in_port,eth_src,dst_port,pkt_rate,byte_rate,inference_time_ms,mitigation_latency_ms,cpu_percent,predicted_label,action_taken,scenario
1787352027.0294583,2,2,00:00:00:00:00:04,0,74603.0,4028562.0,4.559,0.0,98.0,Normal,ALLOW,ddos
1787352027.035383,2,3,00:00:00:00:00:01,0,71112.0,3840048.0,4.368,0.0,98.0,Normal,ALLOW,ddos
1787352027.0430894,2,1,00:00:00:00:00:03,0,72401.0,3909654.0,4.717,0.0,102.8,Normal,ALLOW,ddos
1787352027.0498002,2,2,00:00:00:00:00:04,0,73752.0,3982608.0,4.628,0.0,102.8,Normal,ALLOW,ddos
1787352027.0557132,2,3,00:00:00:00:00:01,0,72935.0,3938490.0,4.355,0.0,102.8,Normal,ALLOW,ddos
1787352027.0859084,2,1,00:00:00:00:00:03,0,77771.0,4199634.0,4.543,0.0,0.0,Normal,ALLOW,ddos
1787352027.0919275,2,2,00:00:00:00:00:04,0,75698.0,4087692.0,4.474,0.0,0.0,Normal,ALLOW,ddos
1787352027.0983741,2,3,00:00:00:00:00:01,0,78281.0,4227174.0,4.575,0.0,0.0,Normal,ALLOW,ddos
1787352027.4916263,2,1,00:00:00:00:00:03,0,72032.0,3889728.0,5.125,0.0,98.9,Normal,ALLOW,ddos
1787352027.497913,2,2,00:00:00:00:00:04,0,68085.0,3676590.0,4.294,0.0,98.9,Normal,ALLOW,ddos
1787352027.503575,2,3,00:00:00:00:00:01,0,72427.0,3911058.0,4.206,0.0,98.9,Normal,ALLOW,ddos
1787352028.4943252,2,1,00:00:00:00:00:03,0,70551.84,3809799.09,4.725,0.0,100.7,Normal,ALLOW,ddos
1787352028.5006242,2,2,00:00:00:00:00:04,0,68952.73,3723447.66,4.513,0.0,100.7,Normal,ALLOW,ddos
1787352028.5068166,2,3,00:00:00:00:00:01,0,71656.45,3869448.33,4.598,0.0,100.7,Normal,ALLOW,ddos
1787352029.4994369,2,1,00:00:00:00:00:03,0,69157.12,3734484.59,4.45,0.0,0.0,Normal,ALLOW,ddos
1787352029.5052547,2,2,00:00:00:00:00:04,0,68877.77,3719399.78,4.314,0.0,0.0,Normal,ALLOW,ddos
1787352029.5113697,2,3,00:00:00:00:00:01,0,70101.54,3785483.07,4.478,0.0,0.0,Normal,ALLOW,ddos
1787352030.4999418,2,1,00:00:00:00:00:03,0,71661.0,3869694.0,4.586,0.0,100.0,Normal,ALLOW,ddos
1787352030.5059047,2,2,00:00:00:00:00:04,0,73688.0,3979152.0,4.434,0.0,100.0,Normal,ALLOW,ddos
1787352030.511688,2,3,00:00:00:00:00:01,0,72442.0,3911868.0,4.343,0.0,100.0,Normal,ALLOW,ddos
1787352031.5041358,2,1,00:00:00:00:00:03,0,72858.9,3934380.43,4.788,0.0,99.5,Normal,ALLOW,ddos
1787352031.510446,2,2,00:00:00:00:00:04,0,72344.1,3906581.51,4.776,0.0,99.5,Normal,ALLOW,ddos
1787352031.5166388,2,3,00:00:00:00:00:01,0,73886.49,3989870.72,4.617,0.0,99.5,Normal,ALLOW,ddos
1787352032.5034611,2,1,00:00:00:00:00:03,0,73925.0,3991950.0,4.562,0.0,0.0,Normal,ALLOW,ddos
1787352032.5095162,2,2,00:00:00:00:00:04,0,71061.0,3837294.0,4.57,0.0,0.0,Normal,ALLOW,ddos
1787352032.5153651,2,3,00:00:00:00:00:01,0,75018.0,4050972.0,4.249,0.0,0.0,Normal,ALLOW,ddos
1787352033.5061371,2,1,00:00:00:00:00:03,0,71466.58,3859195.06,4.51,0.0,99.8,Normal,ALLOW,ddos
1787352033.5148196,2,2,00:00:00:00:00:04,0,71191.22,3844325.89,7.125,0.0,99.8,Normal,ALLOW,ddos
1787352033.5251887,2,3,00:00:00:00:00:01,0,72647.81,3922981.63,8.185,0.0,99.8,Normal,ALLOW,ddos
1787352034.5048423,2,1,00:00:00:00:00:03,0,75708.0,4088232.0,4.298,0.0,0.0,Normal,ALLOW,ddos
1787352034.5105093,2,2,00:00:00:00:00:04,0,70049.0,3782646.0,4.236,0.0,0.0,Normal,ALLOW,ddos
1787352034.5160608,2,3,00:00:00:00:00:01,0,76826.0,4148604.0,4.172,0.0,0.0,Normal,ALLOW,ddos
1787352035.50936,2,1,00:00:00:00:00:03,0,77460.86,4182886.29,4.638,0.0,100.6,Normal,ALLOW,ddos
1787352035.5154095,2,2,00:00:00:00:00:04,0,77754.79,4198758.89,4.41,0.0,100.6,Normal,ALLOW,ddos
1787352035.5211906,2,3,00:00:00:00:00:01,0,78530.99,4240673.3,4.312,0.0,100.6,Normal,ALLOW,ddos
1787352036.5071416,2,1,00:00:00:00:00:03,0,75154.0,4058316.0,4.309,0.0,0.0,Normal,ALLOW,ddos
1787352036.51274,2,2,00:00:00:00:00:04,0,73043.0,3944322.0,4.17,0.0,0.0,Normal,ALLOW,ddos
1787352036.5183249,2,3,00:00:00:00:00:01,0,76190.0,4114260.0,4.223,0.0,0.0,Normal,ALLOW,ddos
1787352037.512044,2,1,00:00:00:00:00:03,0,74498.53,4022920.65,4.504,0.0,0.0,Normal,ALLOW,ddos
1787352037.5179915,2,2,00:00:00:00:00:04,0,72891.05,3936116.68,4.435,0.0,0.0,Normal,ALLOW,ddos
1787352037.523698,2,3,00:00:00:00:00:01,0,75531.7,4078711.69,4.262,0.0,0.0,Normal,ALLOW,ddos
1787352038.517413,2,1,00:00:00:00:00:03,0,73128.34,3948930.24,4.518,0.0,0.0,Normal,ALLOW,ddos
1787352038.5242932,2,2,00:00:00:00:00:04,0,73190.01,3952260.27,5.304,0.0,0.0,Normal,ALLOW,ddos
